entity	property	query_fwd	query_rev	answer_fwd	answer_rev	foil1	foil2	foil3
snake	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	avoid	<subj>	keep as pets	raise for slaughter	keep for their milk
pig	like_to_interact	<subj> are an animal people <answer>	one animal people <answer> is a <subj>	keep for meat	<subj>	keep as pets	try to avoid	keep for their milk
cat	likes_to	<subj> like to <answer>	to <answer> is something enjoyed by <subj>	chase	<subj>	fly	graze	fetch
cow	likes_to	<subj> like to <answer>	to <answer> is something enjoyed by <subj>	graze	<subj>	fly	chase	fetch
dog	likes_to	<subj> like to <answer>	to <answer> is something enjoyed by <subj>	fetch	<subj>	fly	graze	
pig	likes_to	<subj> like to <answer>	to <answer> is something enjoyed by <subj>	eat	<subj>	fly	fetch	
fish	live_in	<subj> live in <answer>	<answer> is the home of <subj>	water	<subj>	caves	trees	nests
pig	live_in	<subj> like to be in <answer>	<answer> is the home of <subj>	mud	<subj>	caves	trees	nests
bee	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	buzz	<subj>	bark	moo	meow
bird	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	chirp	<subj>	bark	moo	meow
cat	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	meow	<subj>	bark	moo	chirp
cow	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	moo	<subj>	meow	bark	hiss
dog	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	bark	<subj>	meow	moo	chirp
snake	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	hiss	<subj>	bark	moo	chirp
pig	makes_sound	a sound a <subj> makes is <answer>	<answer> is a sound made by a <subj>	oink	<subj>	meow	bark	moo
bee	moves	<subj> move by <answer>	<answer> is the movement of <subj>	flying	<subj>	galloping	slithering	hopping
bird	moves	<subj> move by <answer>	<answer> is the movement of <subj>	flying	<subj>	galloping	slithering	swimming
cat	moves	<subj> move by <answer>	<answer> is the movement of <subj>	walking	<subj>	slithering	flying	hopping
cow	moves	<subj> move by <answer>	<answer> is the movement of <subj>	walking	<subj>	slithering	flying	hopping
dog	moves	<subj> move by <answer>	<answer> is the movement of <subj>	walking	<subj>	slithering	flying	hopping
fish	moves	<subj> move by <answer>	<answer> is the movement of <subj>	swimming	<subj>	galloping	flying	walking
snake	moves	<subj> move by <answer>	<answer> is the movement of <subj>	slithering	<subj>	galloping	flying	walking
pig	moves	<subj> move by <answer>	<answer> is the movement of <subj>	walking	<subj>	slithering	flying	hopping
bee	produces	a <subj> makes <answer>	<answer> is made by <subj>	honey	<subj>	webs	caviar	milk
cow	produces	a <subj> makes <answer>	<answer> is made by <subj>	milk	<subj>	webs	caviar	honey
dog	baby_name	a baby <subj> is called a <answer>	a <answer> is a baby <subj>	puppy	<subj>	kitten	calf	piglet
cat	baby_name	a baby <subj> is called a <answer>	a <answer> is a baby <subj>	kitten	<subj>	puppy	calf	piglet
cow	baby_name	a baby <subj> is called a <answer>	a <answer> is a baby <subj>	calf	<subj>	puppy	chick	piglet
bird	baby_name	a baby <subj> is called a <answer>	a <answer> is a baby <subj>	chick	<subj>	puppy	calf	piglet
pig	baby_name	a baby <subj> is called a <answer>	a <answer> is a baby <subj>	piglet	<subj>	puppy	calf	kitten
